[2026-07-18T19:12:31.185Z] GET https://aldara.com.mx/_next/static/chunks/app/admin/(panel)/layout-52563bbdff891f15.js?dpl=dpl_JDLCjNngk2fTYcM5k2EuAqcy7qHd → 200 (?ms, -597B)
[2026-07-18T19:12:31.185Z] GET https://aldara.com.mx/_next/static/chunks/app/layout-88231009ffe64b44.js?dpl=dpl_JDLCjNngk2fTYcM5k2EuAqcy7qHd → 200 (?ms, -583B)
[2026-07-18T19:12:31.187Z] GET https://www.googletagmanager.com/gtag/js?id=G-ZZ617W7TE6 → 200 (?ms, -586B)
[2026-07-18T19:12:31.187Z] GET https://aldara.com.mx/_next/static/chunks/app/admin/(panel)/page-684e052e3dddb79f.js?dpl=dpl_JDLCjNngk2fTYcM5k2EuAqcy7qHd → 200 (?ms, -612B)
[2026-07-18T19:12:31.214Z] GET https://aldara.com.mx/_vercel/insights/script.js → 200 (?ms, -571B)
[2026-07-18T19:12:31.231Z] GET https://www.googletagmanager.com/td?id=G-ZZ617W7TE6&v=3&t=t&pid=785676722&gtm=45je67f0v9258376202za200zd9258376202&seq=1&exp=115938465~115938468~118395335~118897920~118897930~119724320&dl=aldara.com.mx%2Fadmin&tdp=G-ZZ617W7TE6;258376202;0;0;0&frm=0&rtg=258376202&slo=6&hlo=6&lst=3&bt=0&ct=3&z=0 → 204 (88ms, 430B)
[2026-07-18T19:12:31.234Z] GET https://aldara.com.mx/admin/perfil?_rsc=KsbKi1tAdQDSy3Op → 200 (382ms, 241B)
[2026-07-18T19:12:31.234Z] GET https://aldara.com.mx/admin/inventory?_rsc=KsbKi1tAdQDSy3Op → 200 (320ms, 282B)
[2026-07-18T19:12:31.234Z] GET https://aldara.com.mx/admin/import?_rsc=KsbKi1tAdQDSy3Op → 200 (344ms, 243B)
[2026-07-18T19:12:31.234Z] GET https://aldara.com.mx/admin/hero?_rsc=KsbKi1tAdQDSy3Op → 200 (327ms, 226B)
[2026-07-18T19:12:31.234Z] GET https://aldara.com.mx/admin/leads?_rsc=KsbKi1tAdQDSy3Op → 200 (410ms, 226B)
[2026-07-18T19:12:31.554Z] GET https://aldara.com.mx/admin/conversations?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:31.561Z] GET https://aldara.com.mx/admin/emails?_rsc=KsbKi1tAdQDSy3Op → 200 (254ms, 241B)
[2026-07-18T19:12:31.578Z] GET https://aldara.com.mx/admin/agent?_rsc=KsbKi1tAdQDSy3Op → 200 (282ms, 240B)
[2026-07-18T19:12:31.617Z] GET https://aldara.com.mx/admin/capacidades?_rsc=KsbKi1tAdQDSy3Op → 200 (246ms, 291B)
[2026-07-18T19:12:31.644Z] GET https://aldara.com.mx/admin/channels?_rsc=KsbKi1tAdQDSy3Op → 200 (258ms, 227B)
[2026-07-18T19:12:31.816Z] GET https://aldara.com.mx/admin/ads?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:31.863Z] GET https://aldara.com.mx/admin/whatsapp?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:31.863Z] GET https://aldara.com.mx/admin/domain?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:31.902Z] GET https://aldara.com.mx/admin/plan?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
